product_name,brand,price,description,image
iPhone 14,Apple,79900,Latest iPhone with A15 Bionic chip and 6.1-inch display,https://store.storeimages.cdn-apple.com/4982/as-images.apple.com/is/iphone14-select-202209-6-1inch-202209_FMT_WHH
Galaxy S23,Samsung,74999,Flagship phone with Snapdragon 8 Gen 2 processor and Dynamic AMOLED display,https://images.samsung.com/is/image/samsung/p6pim/in/sm-s911bzgcins/gallery/in-galaxy-s23-s911-sm-s911bzgcins-535988467
Air Max Shoes,Nike,8999,Comfortable running shoes with lightweight cushioning,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/air-max-excee-shoes.jpg
MacBook Air M2,Apple,99900,Lightweight laptop with M2 chip and Retina display,https://store.storeimages.cdn-apple.com/4982/as-images.apple.com/is/macbook-air-m2-202206_FMT_WHH
ThinkPad X1,Lenovo,125000,Business laptop with Intel i7 and 16GB RAM,https://www.lenovo.com/medias/lenovo-laptop-thinkpad-x1-carbon-gen9.png
Wireless Earbuds,Sony,5999,Noise cancelling true wireless earbuds,https://m.media-amazon.com/images/I/71X1cl4G9lL._SL1500_.jpg
Smartwatch Series 7,Apple,41900,Fitness and health tracking smartwatch,https://store.storeimages.cdn-apple.com/4982/as-images.apple.com/is/MKMX3ref_FMT_WHH
Analog Watch,Casio,2999,Durable and stylish analog wristwatch,https://m.media-amazon.com/images/I/71M1Lvbz4IL._UL1500_.jpg
Backpack,Herschel,4999,Durable backpack with padded laptop sleeve,https://herschel.com/content/dam/herschel/products/backpacks/littleamerica/10014-00055-OS_01.png
Sunglasses,Ray-Ban,6999,Classic aviator sunglasses with UV protection,https://assets.ray-ban.com/is/image/RayBan/805289602057_shad_fr.png
Leather Wallet,Tommy Hilfiger,2499,Premium leather wallet with multiple slots,https://m.media-amazon.com/images/I/71ZK7Usk9IL._UL1500_.jpg
Microwave Oven,LG,10499,20L convection microwave oven,https://www.lg.com/in/images/microwave-ovens/md07515772/gallery/MH2044DB-Microwave-oven-Front-View-D-01.jpg
Blender,Philips,3499,500W mixer grinder with multiple jars,https://m.media-amazon.com/images/I/71C5QnGM2wL._SL1500_.jpg
Table Lamp,IKEA,1299,LED desk lamp with adjustable brightness,https://www.ikea.com/in/en/images/products/hektar-work-lamp.jpg
Cotton Shirt,Levi’s,1999,Casual cotton shirt with slim fit,https://lsco.scene7.com/is/image/lsco/195870045-productimage
Denim Jeans,Wrangler,2499,Regular fit denim jeans,https://imagescdn.leejeans.com/is/image/leejeans/men-jeans.jpg
Sports T-Shirt,Adidas,1599,Breathable sports t-shirt for workouts,https://assets.adidas.com/images/w_600,f_auto,q_auto/abx.jpg
Running Shorts,Puma,1299,Lightweight running shorts with dryCELL tech,https://images.puma.net/images/shorts.jpg
Formal Shoes,Clarks,5499,Leather formal shoes with cushioned sole,https://m.clarks.com/images/formal-shoes.jpg
Casual Dress,Zara,2999,Stylish summer casual dress,https://static.zara.net/photos/casual-dress.jpg
Handbag,Michael Kors,8999,Luxury leather handbag with shoulder strap,https://michaelkors.scene7.com/is/image/MichaelKors/handbag.jpg
Perfume,Chanel,7999,Classic fragrance with long-lasting aroma,https://www.chanel.com/images/perfume.jpg
Gaming Console,PlayStation,49990,Next-gen console with immersive graphics,https://www.playstation.com/ps5-image.png
Bluetooth Speaker,JBL,5999,Portable waterproof Bluetooth speaker,https://m.media-amazon.com/images/I/81F9jMlJDVL._SL1500_.jpg
Digital Camera,Canon,45999,DSLR with 24MP sensor and 4K video,https://in.canon/media/camera.png
Smart TV,Sony,62999,55-inch 4K Ultra HD Smart LED TV,https://sony.in/images/tv.png
Washing Machine,Whirlpool,20999,6kg fully automatic washing machine,https://www.whirlpoolindia.com/wm.png
Refrigerator,Samsung,31999,Double door frost free refrigerator,https://images.samsung.com/in/fridge.png
Office Chair,Herman Miller,49999,Ergonomic office chair with lumbar support,https://www.hermanmiller.com/chair.png
Bed Frame,IKEA,14999,Wooden bed frame with storage drawers,https://www.ikea.com/in/en/bedframe.png
